exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,BTC-PERP,0.000007955744306319146492651367691,121.1265,1646897851000000,1646901424000000
Mango Markets,BTC-PERP,0.000008087770087413473001691664664,121.1395,1646897913000000,1646901486000000
Mango Markets,BTC-PERP,0.000007979117183507275488612148074,121.1395,1646897974000000,1646901548000000
Mango Markets,BTC-PERP,0.000007799479604636208795200888425,121.1395,1646898036000000,1646901609000000
Mango Markets,BTC-PERP,0.000007527582947919744621700610932,121.1395,1646898098000000,1646901640000000
Mango Markets,BTC-PERP,0.000007198383669872027206376701824,121.1395,1646898160000000,1646901702000000
Mango Markets,BTC-PERP,0.000007089138126561071159091687260,122.698,1646898221000000,1646901763000000
Mango Markets,BTC-PERP,0.000007299223431120712024527108777,122.698,1646898283000000,1646901825000000
Mango Markets,BTC-PERP,0.000007510579106270166961293295066,122.698,1646898313000000,1646901886000000
Mango Markets,BTC-PERP,0.000007390887542639514070323280267,122.698,1646898375000000,1646901948000000
Mango Markets,BTC-PERP,0.000007074544086859247872540025766,122.697,1646898436000000,1646902009000000
Mango Markets,BTC-PERP,0.000006850220701893677494990086367,122.697,1646898498000000,1646902071000000
Mango Markets,BTC-PERP,0.000006715966656462778434284241685,120.5708,1646898559000000,1646902133000000
Mango Markets,BTC-PERP,0.000006565618981342405171681641905,120.5708,1646898621000000,1646902194000000
Mango Markets,BTC-PERP,0.000006217824862027643118656104442,120.5688,1646898683000000,1646902256000000
Mango Markets,BTC-PERP,0.000005780708361228835874506245931,120.5658,1646898744000000,1646902317000000
Mango Markets,BTC-PERP,0.000005550524287012972290560171555,120.5658,1646898806000000,1646902379000000
Mango Markets,BTC-PERP,0.000005337863839039887287472194743,120.5658,1646898868000000,1646902440000000
Mango Markets,BTC-PERP,0.000003919762329607743398229217043,118.1825,1646898929000000,1646902502000000
Mango Markets,BTC-PERP,2.579679368588416504048176479E-7,117.9488,1646898991000000,1646902564000000
Mango Markets,BTC-PERP,-0.000001351308590113151378173956954,117.9127,1646899053000000,1646902625000000
Mango Markets,BTC-PERP,-0.000002095074421719343784439168584,117.9149,1646899114000000,1646902687000000
Mango Markets,BTC-PERP,-0.000003073781357596253088332912331,117.9159,1646899176000000,1646902749000000
Mango Markets,BTC-PERP,-0.000003362396430229079665499113662,117.9159,1646899238000000,1646902780000000
Mango Markets,BTC-PERP,-0.000009925446411684472686255435200,117.0533,1646899300000000,1646902872000000
Mango Markets,BTC-PERP,-0.00001002314756824255433298104581,117.0533,1646899361000000,1646902903000000
Mango Markets,BTC-PERP,-0.00001062858819059439830601875874,117.0533,1646899392000000,1646902965000000
Mango Markets,BTC-PERP,-0.00001121503245641925673585642461,117.0543,1646899453000000,1646903027000000
Mango Markets,BTC-PERP,-0.00001180398169128447215183271991,117.0543,1646899515000000,1646903088000000
Mango Markets,BTC-PERP,-0.00001216769026533251556380267547,117.0552,1646899576000000,1646903150000000
Mango Markets,BTC-PERP,-0.00001232534995401079266033190151,117.0052,1646899638000000,1646903212000000
Mango Markets,BTC-PERP,-0.00001328370937608134845578508235,122.2354,1646899700000000,1646903273000000
Mango Markets,BTC-PERP,-0.00001647084281021255322512536406,122.2344,1646899761000000,1646903335000000
Mango Markets,BTC-PERP,-0.00001773216180375591472131718113,122.2344,1646899823000000,1646903396000000
Mango Markets,BTC-PERP,-0.00001828478352922738190621193113,122.2344,1646899884000000,1646903458000000
Mango Markets,BTC-PERP,-0.00001914407926609143188960136545,122.2037,1646899946000000,1646903520000000
Mango Markets,BTC-PERP,-0.00001958472774706836392132388869,122.2037,1646900007000000,1646903581000000
Mango Markets,BTC-PERP,-0.00002063335891420467347939613238,122.2037,1646900069000000,1646903643000000
Mango Markets,BTC-PERP,-0.00002148689820663489839132437072,122.2037,1646900130000000,1646903704000000
Mango Markets,BTC-PERP,-0.00002268963084940681349288295470,123.3405,1646900192000000,1646903766000000
Mango Markets,BTC-PERP,-0.00002534967817303420974483197000,125.3093,1646900254000000,1646903828000000
Mango Markets,BTC-PERP,-0.00002622501899151759470867455419,125.3933,1646900315000000,1646903889000000
Mango Markets,BTC-PERP,-0.00002649790557465373417361231545,122.2953,1646900377000000,1646903920000000
